"","Series.Name","Series.Code","Country.Name","Country.Code","YR1992","YR1993","YR1994","YR1995","YR1996","YR1997","YR1998","YR1999","YR2000","YR2001","YR2002","YR2003","YR2004","YR2005","YR2006","YR2007","YR2008","YR2009","YR2010","YR2011","YR2012","YR2013","YR2014","YR2015","YR2016"
"1","Land area (sq. km)","AG.LND.TOTL.K2","Afghanistan","AFG",652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860
"2","Land area (sq. km)","AG.LND.TOTL.K2","Albania","ALB",27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
"3","Land area (sq. km)","AG.LND.TOTL.K2","Algeria","DZA",2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740
"4","Land area (sq. km)","AG.LND.TOTL.K2","American Samoa","ASM",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"5","Land area (sq. km)","AG.LND.TOTL.K2","Andorra","AND",470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
"6","Land area (sq. km)","AG.LND.TOTL.K2","Angola","AGO",1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
"7","Land area (sq. km)","AG.LND.TOTL.K2","Antigua and Barbuda","ATG",440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
"8","Land area (sq. km)","AG.LND.TOTL.K2","Argentina","ARG",2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690
"9","Land area (sq. km)","AG.LND.TOTL.K2","Armenia","ARM",28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470
"10","Land area (sq. km)","AG.LND.TOTL.K2","Aruba","ABW",180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
"11","Land area (sq. km)","AG.LND.TOTL.K2","Australia","AUS",7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7692020
"12","Land area (sq. km)","AG.LND.TOTL.K2","Austria","AUT",82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82577.998046875,82577.998046875,82577.998046875,82570.99609375,82560.99609375,82554.00390625,82530.99609375,82522.998046875,82522.998046875,82522.998046875
